Date,FTSE100,Rtn
11/18/1997,4845.4,-0.00444793
11/19/1997,4830.1,-0.00316263
11/20/1997,4908.4,0.016080852
11/21/1997,4985.8,0.015645849
11/24/1997,4898.6,-0.017644422
11/25/1997,4863.5,-0.007191107
11/26/1997,4891.2,0.005679329
11/27/1997,4889,-0.000449889
11/28/1997,4831.8,-0.011768715
12/1/1997,4921.8,0.018455248
12/2/1997,4977.6,0.01127353
12/3/1997,4970.7,-0.001387172
12/4/1997,5082.3,0.02220324
12/5/1997,5142.9,0.011853208
12/8/1997,5187.4,0.008615486
12/9/1997,5177.1,-0.001987554
12/10/1997,5130.7,-0.009002952
12/11/1997,5035.9,-0.018649843
12/12/1997,5045.2,0.001845037
12/15/1997,5121.8,0.015068644
12/16/1997,5203.4,0.015806318
12/17/1997,5190.8,-0.00242443
12/18/1997,5168.3,-0.004344014
12/19/1997,5020.2,-0.029074041
12/22/1997,5018.2,-0.00039847
12/23/1997,5049.8,0.006277335
12/24/1997,5013.9,-0.007134583
12/29/1997,5112.4,0.019454906
12/30/1997,5132.3,0.003884941
12/31/1997,5135.5,0.000623308
1/2/1998,5193.5,0.011230634
1/5/1998,5262.5,0.013198355
1/6/1998,5264.4,0.00036098
